               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06484,            0.028336,            0.087126,           0.0081327,             0.91575,            0.026826,            0.012477,            0.049147,            0.011658,            0.083896,           0.0033145,           0.0033145,            0.070169
                   1,            0.044222,            0.018521,            0.083867,            0.013122,              0.9273,            0.035373,            0.023905,            0.030525,           0.0099755,            0.082358,            0.006582,            0.006582,            0.040104
                   2,            0.040956,            0.017583,            0.082307,            0.015266,             0.87574,            0.037842,            0.021068,            0.039278,            0.010613,            0.081149,           0.0097835,           0.0097835,           0.0099719
                   3,            0.039903,             0.01805,            0.081108,              0.5286,             0.08279,            0.061296,            0.036427,            0.032469,            0.010141,            0.078982,            0.009703,            0.009703,            0.009703
                   4,            0.037076,            0.017604,            0.078897,              0.2775,             0.13522,            0.075399,            0.047817,            0.031952,            0.010198,            0.076393,            0.009703,            0.009703,            0.009703
                   5,            0.033896,            0.016848,            0.076129,             0.21641,             0.20645,             0.10481,            0.068012,            0.030802,           0.0094176,            0.073513,            0.009604,            0.009604,            0.009604
                   6,            0.032873,            0.016689,            0.073398,             0.21762,             0.25856,             0.14124,            0.094272,            0.028339,           0.0087993,            0.069661,            0.009505,            0.009505,            0.009505
                   7,            0.031816,            0.016455,            0.071106,             0.18869,             0.25501,             0.14325,            0.097046,             0.03021,           0.0096505,             0.06964,            0.009406,            0.009406,            0.009406
                   8,            0.031097,            0.015794,            0.068324,             0.22975,             0.30096,             0.17737,             0.12518,            0.026578,           0.0086638,            0.066648,            0.009307,            0.009307,            0.009307
                   9,            0.030796,            0.015497,            0.066009,             0.28106,             0.28748,             0.19339,             0.13487,            0.027848,            0.008958,            0.065793,            0.009208,            0.009208,            0.009208
                  10,             0.03079,             0.01559,            0.064112,             0.32788,              0.3104,              0.2465,             0.17465,            0.026292,           0.0086246,            0.062843,            0.009109,            0.009109,            0.009109
                  11,            0.030165,            0.015389,            0.061593,             0.37878,             0.33235,             0.26692,               0.188,            0.025963,            0.008508,            0.061131,             0.00901,             0.00901,             0.00901
                  12,            0.030009,            0.014889,            0.058371,             0.38901,             0.36229,             0.29878,              0.2144,            0.025655,           0.0082522,            0.060035,            0.008911,            0.008911,            0.008911
                  13,            0.030051,             0.01534,            0.057383,             0.35811,             0.41044,              0.3304,             0.24169,            0.025301,           0.0084061,            0.057881,            0.008812,            0.008812,            0.008812
